year,title,category,nominee,artist,track_id,artists,album_name,track_name,popularity,explicit,danceability,energy,loudness,acousticness,valence,track_genre,duration_min
2017,60th Annual GRAMMY Awards  (2017),Best R&B Performance,that's what i like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,that's what i like,83,False,85.3,56.0,-4.961,1.3,86.0,dance,3.44
2017,60th Annual GRAMMY Awards  (2017),Best Rap Performance,humble.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,humble.,84,True,90.8,62.1,-6.638,0.03,42.1,hip-hop,2.95
2016,59th Annual GRAMMY Awards  (2016),Record Of The Year,hello,Adele,1Yk0cQdMLx5RzzFTYwmuld,Adele,25,hello,74,False,57.8,43.0,-6.134,33.0,28.8,british,4.93
2016,59th Annual GRAMMY Awards  (2016),Best Pop Solo Performance,hello,Adele,1Yk0cQdMLx5RzzFTYwmuld,Adele,25,hello,74,False,57.8,43.0,-6.134,33.0,28.8,british,4.93
2016,59th Annual GRAMMY Awards  (2016),Best Pop Duo/Group Performance,stressed out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,stressed out,85,False,73.4,63.7,-5.677,4.62,64.8,rock,3.37
2016,59th Annual GRAMMY Awards  (2016),Best Country Solo Performance,my church,Maren Morris,1LM5zQv5pBKPyO7rm7Uz6U,Maren Morris,HERO (Deluxe Edition),my church,69,False,51.7,74.3,-4.336,24.3,66.4,country,3.3
2015,58th Annual GRAMMY Awards  (2015),Best Metal Performance,cirice,Ghost,5j3iBuHq6vv7VcBo4Y2QrK,Ghost,Meliora,cirice,63,False,55.5,79.8,-5.658,0.25,28.4,hard-rock,6.03
2015,58th Annual GRAMMY Awards  (2015),Best Country Duo/Group Performance,girl crush,Little Big Town,11qh54D0PKkBwelpDxxiEU,Little Big Town,Pain Killer,girl crush,70,False,50.0,22.5,-10.22,84.2,35.5,country,3.22
2014,57th Annual GRAMMY Awards  (2014),Best Rock Performance,lazaretto,Jack White,3T76zPJz3tWL27FrjJe2ot,Jack White,Lazaretto,lazaretto,58,False,38.1,83.8,-6.562,0.46,58.1,garage,3.66
2013,56th Annual GRAMMY Awards  (2013),Best Rock Performance,radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,Imagine Dragons,Night Visions,radioactive,80,False,44.8,78.4,-3.686,10.6,23.6,rock,3.11
